Travel Modes,Trip Characteristics,Region,Year,Average Trip Per Day,Average Trip Per Year
Passenger car (driver),Saturday,Drenthe (PV),2018,1.42,74.0
Passenger car (driver),Saturday,Drenthe (PV),2019,1.51,79.0
Passenger car (driver),Saturday,Drenthe (PV),2020,1.21,63.0
Passenger car (driver),Saturday,Drenthe (PV),2021,1.26,65.0
Passenger car (driver),Saturday,Overijssel (PV),2018,1.32,69.0
Passenger car (driver),Saturday,Overijssel (PV),2019,1.24,65.0
Passenger car (driver),Saturday,Overijssel (PV),2020,1.16,60.0
Passenger car (driver),Saturday,Overijssel (PV),2021,1.01,53.0
Passenger car (driver),Saturday,Flevoland (PV),2018,1.05,54.0
Passenger car (driver),Saturday,Flevoland (PV),2019,1.1,57.0
Passenger car (driver),Saturday,Flevoland (PV),2020,1.06,55.0
Passenger car (driver),Saturday,Flevoland (PV),2021,1.06,55.0
Passenger car (driver),Saturday,Gelderland (PV),2018,1.32,69.0
Passenger car (driver),Saturday,Gelderland (PV),2019,1.23,64.0
Passenger car (driver),Saturday,Gelderland (PV),2020,1.08,56.0
Passenger car (driver),Saturday,Gelderland (PV),2021,1.04,54.0
Passenger car (driver),Saturday,Utrecht (PV),2018,1.07,56.0
Passenger car (driver),Saturday,Utrecht (PV),2019,1.0,52.0
Passenger car (driver),Saturday,Utrecht (PV),2020,0.82,43.0
Passenger car (driver),Saturday,Utrecht (PV),2021,0.86,44.0
Passenger car (driver),Saturday,Noord-Holland (PV),2018,0.97,51.0
Passenger car (driver),Saturday,Noord-Holland (PV),2019,0.93,48.0
Passenger car (driver),Saturday,Noord-Holland (PV),2020,0.8,42.0
Passenger car (driver),Saturday,Noord-Holland (PV),2021,0.72,37.0
Passenger car (driver),Saturday,Zuid-Holland (PV),2018,1.0,52.0
Passenger car (driver),Saturday,Zuid-Holland (PV),2019,0.97,50.0
Passenger car (driver),Saturday,Zuid-Holland (PV),2020,0.77,40.0
Passenger car (driver),Saturday,Zuid-Holland (PV),2021,0.83,43.0
Passenger car (driver),Saturday,Zeeland (PV),2018,1.36,71.0
Passenger car (driver),Saturday,Zeeland (PV),2019,1.24,65.0
Passenger car (driver),Saturday,Zeeland (PV),2020,1.32,68.0
Passenger car (driver),Saturday,Zeeland (PV),2021,1.31,68.0
Passenger car (driver),Saturday,Noord-Brabant (PV),2018,1.14,59.0
Passenger car (driver),Saturday,Noord-Brabant (PV),2019,1.17,61.0
Passenger car (driver),Saturday,Noord-Brabant (PV),2020,1.05,55.0
Passenger car (driver),Saturday,Noord-Brabant (PV),2021,0.99,51.0
Passenger car (driver),Saturday,Limburg (PV),2018,1.34,70.0
Passenger car (driver),Saturday,Limburg (PV),2019,1.3,68.0
Passenger car (driver),Saturday,Limburg (PV),2020,1.03,54.0
Passenger car (driver),Saturday,Limburg (PV),2021,1.0,52.0
Passenger car (driver),Trip in January,The Netherlands,2018,1.05,33.0
Passenger car (driver),Trip in January,The Netherlands,2019,1.01,31.0
Passenger car (driver),Trip in January,The Netherlands,2020,1.02,31.0
Passenger car (driver),Trip in January,The Netherlands,2021,0.67,21.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2018,1.11,34.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2019,1.11,34.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2020,1.04,32.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2021,0.73,23.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2018,1.05,33.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2019,1.1,34.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2020,1.1,34.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2021,0.73,23.0
Passenger car (driver),Trip in January,West-Nederland (LD),2018,0.98,30.0
Passenger car (driver),Trip in January,West-Nederland (LD),2019,0.88,27.0
Passenger car (driver),Trip in January,West-Nederland (LD),2020,0.9,28.0
Passenger car (driver),Trip in January,West-Nederland (LD),2021,0.58,18.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2018,1.17,36.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2019,1.17,36.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2020,1.17,36.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2021,0.77,24.0
Passenger car (driver),Trip in January,Groningen (PV),2018,0.86,27.0
Passenger car (driver),Trip in January,Groningen (PV),2019,0.93,29.0
Passenger car (driver),Trip in January,Groningen (PV),2020,,
Passenger car (driver),Trip in January,Groningen (PV),2021,,
Passenger car (driver),Trip in January,Fryslân (PV),2018,1.13,35.0
Passenger car (driver),Trip in January,Fryslân (PV),2019,1.12,35.0
Passenger car (driver),Trip in January,Fryslân (PV),2020,1.07,33.0
Passenger car (driver),Trip in January,Fryslân (PV),2021,0.69,21.0
Passenger car (driver),Trip in January,Drenthe (PV),2018,1.4,43.0
Passenger car (driver),Trip in January,Drenthe (PV),2019,1.31,41.0
Passenger car (driver),Trip in January,Drenthe (PV),2020,1.25,39.0
Passenger car (driver),Trip in January,Drenthe (PV),2021,,
Passenger car (driver),Trip in January,Overijssel (PV),2018,0.94,29.0
Passenger car (driver),Trip in January,Overijssel (PV),2019,0.94,29.0
Passenger car (driver),Trip in January,Overijssel (PV),2020,1.11,34.0
Passenger car (driver),Trip in January,Overijssel (PV),2021,0.85,26.0
Passenger car (driver),Trip in January,Flevoland (PV),2018,1.2,37.0
Passenger car (driver),Trip in January,Flevoland (PV),2019,1.13,35.0
Passenger car (driver),Trip in January,Flevoland (PV),2020,,
Passenger car (driver),Trip in January,Flevoland (PV),2021,0.75,23.0
Passenger car (driver),Trip in January,Gelderland (PV),2018,1.09,34.0
Passenger car (driver),Trip in January,Gelderland (PV),2019,1.18,37.0
Passenger car (driver),Trip in January,Gelderland (PV),2020,1.11,34.0
Passenger car (driver),Trip in January,Gelderland (PV),2021,0.66,20.0
Passenger car (driver),Trip in January,Utrecht (PV),2018,0.88,27.0
Passenger car (driver),Trip in January,Utrecht (PV),2019,0.84,26.0
Passenger car (driver),Trip in January,Utrecht (PV),2020,0.96,30.0
Passenger car (driver),Trip in January,Utrecht (PV),2021,0.64,20.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2018,0.97,30.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2019,0.84,26.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2020,0.83,26.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2021,0.52,16.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2018,1.02,32.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2019,0.9,28.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2020,0.93,29.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2021,0.59,18.0
Passenger car (driver),Trip in January,Zeeland (PV),2018,,
Passenger car (driver),Trip in January,Zeeland (PV),2019,,
Passenger car (driver),Trip in January,Zeeland (PV),2020,,
Passenger car (driver),Trip in January,Zeeland (PV),2021,,
Passenger car (driver),Trip in January,Noord-Brabant (PV),2018,1.19,37.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2019,1.13,35.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2020,1.12,35.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2021,0.79,25.0
Passenger car (driver),Trip in January,Limburg (PV),2018,1.14,35.0
Passenger car (driver),Trip in January,Limburg (PV),2019,1.27,39.0
Passenger car (driver),Trip in January,Limburg (PV),2020,1.29,40.0
Passenger car (driver),Trip in January,Limburg (PV),2021,0.72,22.0
Passenger car (driver),Trip in January,The Netherlands,2018,1.0,31.0
Passenger car (driver),Trip in January,The Netherlands,2019,0.96,30.0
Passenger car (driver),Trip in January,The Netherlands,2020,0.97,30.0
Passenger car (driver),Trip in January,The Netherlands,2021,0.63,20.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2018,0.94,29.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2019,0.93,29.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2020,0.88,27.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2021,0.61,19.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2018,0.95,29.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2019,0.99,31.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2020,0.99,31.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2021,0.65,20.0
Passenger car (driver),Trip in January,West-Nederland (LD),2018,0.91,28.0
Passenger car (driver),Trip in January,West-Nederland (LD),2019,0.81,25.0
Passenger car (driver),Trip in January,West-Nederland (LD),2020,0.84,26.0
Passenger car (driver),Trip in January,West-Nederland (LD),2021,0.54,17.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2018,1.06,33.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2019,1.05,33.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2020,1.05,33.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2021,0.69,21.0
Passenger car (driver),Trip in January,Groningen (PV),2018,0.6,19.0
Passenger car (driver),Trip in January,Groningen (PV),2019,0.67,21.0
Passenger car (driver),Trip in January,Groningen (PV),2020,,
Passenger car (driver),Trip in January,Groningen (PV),2021,,
Passenger car (driver),Trip in January,Fryslân (PV),2018,0.84,26.0
Passenger car (driver),Trip in January,Fryslân (PV),2019,0.81,25.0
Passenger car (driver),Trip in January,Fryslân (PV),2020,0.8,25.0
Passenger car (driver),Trip in January,Fryslân (PV),2021,0.5,15.0
Passenger car (driver),Trip in January,Drenthe (PV),2018,1.08,33.0
Passenger car (driver),Trip in January,Drenthe (PV),2019,0.98,30.0
Passenger car (driver),Trip in January,Drenthe (PV),2020,0.93,29.0
Passenger car (driver),Trip in January,Drenthe (PV),2021,,
Passenger car (driver),Trip in January,Overijssel (PV),2018,0.76,23.0
Passenger car (driver),Trip in January,Overijssel (PV),2019,0.75,23.0
Passenger car (driver),Trip in January,Overijssel (PV),2020,0.91,28.0
Passenger car (driver),Trip in January,Overijssel (PV),2021,0.7,22.0
Passenger car (driver),Trip in January,Flevoland (PV),2018,0.88,27.0
Passenger car (driver),Trip in January,Flevoland (PV),2019,0.82,25.0
Passenger car (driver),Trip in January,Flevoland (PV),2020,,
Passenger car (driver),Trip in January,Flevoland (PV),2021,0.53,16.0
Passenger car (driver),Trip in January,Gelderland (PV),2018,0.94,29.0
Passenger car (driver),Trip in January,Gelderland (PV),2019,1.03,32.0
Passenger car (driver),Trip in January,Gelderland (PV),2020,0.96,30.0
Passenger car (driver),Trip in January,Gelderland (PV),2021,0.56,17.0
Passenger car (driver),Trip in January,Utrecht (PV),2018,0.72,22.0
Passenger car (driver),Trip in January,Utrecht (PV),2019,0.68,21.0
Passenger car (driver),Trip in January,Utrecht (PV),2020,0.84,26.0
Passenger car (driver),Trip in January,Utrecht (PV),2021,0.56,17.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2018,0.85,26.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2019,0.72,22.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2020,0.72,22.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2021,0.45,14.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2018,0.91,28.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2019,0.8,25.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2020,0.84,26.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2021,0.53,16.0
Passenger car (driver),Trip in January,Zeeland (PV),2018,,
Passenger car (driver),Trip in January,Zeeland (PV),2019,,
Passenger car (driver),Trip in January,Zeeland (PV),2020,,
Passenger car (driver),Trip in January,Zeeland (PV),2021,,
Passenger car (driver),Trip in January,Noord-Brabant (PV),2018,1.04,32.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2019,0.98,30.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2020,0.98,30.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2021,0.69,22.0
Passenger car (driver),Trip in January,Limburg (PV),2018,0.94,29.0
Passenger car (driver),Trip in January,Limburg (PV),2019,1.05,33.0
Passenger car (driver),Trip in January,Limburg (PV),2020,1.08,33.0
Passenger car (driver),Trip in January,Limburg (PV),2021,0.58,18.0
Passenger car (driver),Trip in January,The Netherlands,2018,1.1,34.0
Passenger car (driver),Trip in January,The Netherlands,2019,1.06,33.0
Passenger car (driver),Trip in January,The Netherlands,2020,1.06,33.0
Passenger car (driver),Trip in January,The Netherlands,2021,0.7,22.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2018,1.28,40.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2019,1.28,40.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2020,1.2,37.0
Passenger car (driver),Trip in January,Noord-Nederland (LD),2021,0.85,26.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2018,1.16,36.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2019,1.21,37.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2020,1.21,38.0
Passenger car (driver),Trip in January,Oost-Nederland (LD),2021,0.81,25.0
Passenger car (driver),Trip in January,West-Nederland (LD),2018,1.05,33.0
Passenger car (driver),Trip in January,West-Nederland (LD),2019,0.95,29.0
Passenger car (driver),Trip in January,West-Nederland (LD),2020,0.96,30.0
Passenger car (driver),Trip in January,West-Nederland (LD),2021,0.62,19.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2018,1.29,40.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2019,1.3,40.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2020,1.28,40.0
Passenger car (driver),Trip in January,Zuid-Nederland (LD),2021,0.85,26.0
Passenger car (driver),Trip in January,Groningen (PV),2018,1.11,34.0
Passenger car (driver),Trip in January,Groningen (PV),2019,1.18,37.0
Passenger car (driver),Trip in January,Groningen (PV),2020,,
Passenger car (driver),Trip in January,Groningen (PV),2021,,
Passenger car (driver),Trip in January,Fryslân (PV),2018,1.41,44.0
Passenger car (driver),Trip in January,Fryslân (PV),2019,1.42,44.0
Passenger car (driver),Trip in January,Fryslân (PV),2020,1.34,41.0
Passenger car (driver),Trip in January,Fryslân (PV),2021,0.88,27.0
Passenger car (driver),Trip in January,Drenthe (PV),2018,1.72,53.0
Passenger car (driver),Trip in January,Drenthe (PV),2019,1.65,51.0
Passenger car (driver),Trip in January,Drenthe (PV),2020,1.57,49.0
Passenger car (driver),Trip in January,Drenthe (PV),2021,,
Passenger car (driver),Trip in January,Overijssel (PV),2018,1.12,35.0
Passenger car (driver),Trip in January,Overijssel (PV),2019,1.12,35.0
Passenger car (driver),Trip in January,Overijssel (PV),2020,1.3,40.0
Passenger car (driver),Trip in January,Overijssel (PV),2021,1.01,31.0
Passenger car (driver),Trip in January,Flevoland (PV),2018,1.52,47.0
Passenger car (driver),Trip in January,Flevoland (PV),2019,1.44,45.0
Passenger car (driver),Trip in January,Flevoland (PV),2020,,
Passenger car (driver),Trip in January,Flevoland (PV),2021,0.97,30.0
Passenger car (driver),Trip in January,Gelderland (PV),2018,1.24,38.0
Passenger car (driver),Trip in January,Gelderland (PV),2019,1.33,41.0
Passenger car (driver),Trip in January,Gelderland (PV),2020,1.25,39.0
Passenger car (driver),Trip in January,Gelderland (PV),2021,0.76,24.0
Passenger car (driver),Trip in January,Utrecht (PV),2018,1.05,33.0
Passenger car (driver),Trip in January,Utrecht (PV),2019,1.01,31.0
Passenger car (driver),Trip in January,Utrecht (PV),2020,1.08,34.0
Passenger car (driver),Trip in January,Utrecht (PV),2021,0.72,22.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2018,1.09,34.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2019,0.95,30.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2020,0.93,29.0
Passenger car (driver),Trip in January,Noord-Holland (PV),2021,0.59,18.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2018,1.14,35.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2019,1.01,31.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2020,1.02,32.0
Passenger car (driver),Trip in January,Zuid-Holland (PV),2021,0.65,20.0
Passenger car (driver),Trip in January,Zeeland (PV),2018,,
Passenger car (driver),Trip in January,Zeeland (PV),2019,,
Passenger car (driver),Trip in January,Zeeland (PV),2020,,
Passenger car (driver),Trip in January,Zeeland (PV),2021,,
Passenger car (driver),Trip in January,Noord-Brabant (PV),2018,1.33,41.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2019,1.28,40.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2020,1.25,39.0
Passenger car (driver),Trip in January,Noord-Brabant (PV),2021,0.89,28.0
Passenger car (driver),Trip in January,Limburg (PV),2018,1.34,42.0
Passenger car (driver),Trip in January,Limburg (PV),2019,1.49,46.0
Passenger car (driver),Trip in January,Limburg (PV),2020,1.5,46.0
Passenger car (driver),Trip in January,Limburg (PV),2021,0.86,27.0
Passenger car (driver),Trip in February,The Netherlands,2018,1.06,30.0
Passenger car (driver),Trip in February,The Netherlands,2019,0.99,28.0
Passenger car (driver),Trip in February,The Netherlands,2020,1.06,31.0
Passenger car (driver),Trip in February,The Netherlands,2021,0.69,19.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2018,1.21,34.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2019,0.88,25.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2020,1.1,32.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2021,0.77,22.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2018,1.17,33.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2019,1.06,30.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2020,1.17,34.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2021,0.74,21.0
Passenger car (driver),Trip in February,West-Nederland (LD),2018,0.96,27.0
Passenger car (driver),Trip in February,West-Nederland (LD),2019,0.85,24.0
Passenger car (driver),Trip in February,West-Nederland (LD),2020,0.9,26.0
Passenger car (driver),Trip in February,West-Nederland (LD),2021,0.62,17.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2018,1.13,32.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2019,1.26,35.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2020,1.27,37.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2021,0.78,22.0
Passenger car (driver),Trip in February,Groningen (PV),2018,1.16,33.0
Passenger car (driver),Trip in February,Groningen (PV),2019,,
Passenger car (driver),Trip in February,Groningen (PV),2020,,
Passenger car (driver),Trip in February,Groningen (PV),2021,,
Passenger car (driver),Trip in February,Fryslân (PV),2018,1.11,31.0
Passenger car (driver),Trip in February,Fryslân (PV),2019,,
Passenger car (driver),Trip in February,Fryslân (PV),2020,,
Passenger car (driver),Trip in February,Fryslân (PV),2021,,
Passenger car (driver),Trip in February,Drenthe (PV),2018,1.39,39.0
Passenger car (driver),Trip in February,Drenthe (PV),2019,,
Passenger car (driver),Trip in February,Drenthe (PV),2020,,
Passenger car (driver),Trip in February,Drenthe (PV),2021,,
Passenger car (driver),Trip in February,Overijssel (PV),2018,1.3,36.0
Passenger car (driver),Trip in February,Overijssel (PV),2019,1.16,32.0
Passenger car (driver),Trip in February,Overijssel (PV),2020,1.17,34.0
Passenger car (driver),Trip in February,Overijssel (PV),2021,0.73,20.0
Passenger car (driver),Trip in February,Flevoland (PV),2018,1.12,31.0
Passenger car (driver),Trip in February,Flevoland (PV),2019,,
Passenger car (driver),Trip in February,Flevoland (PV),2020,,
Passenger car (driver),Trip in February,Flevoland (PV),2021,,
Passenger car (driver),Trip in February,Gelderland (PV),2018,1.1,31.0
Passenger car (driver),Trip in February,Gelderland (PV),2019,0.99,28.0
Passenger car (driver),Trip in February,Gelderland (PV),2020,1.18,34.0
Passenger car (driver),Trip in February,Gelderland (PV),2021,0.78,22.0
Passenger car (driver),Trip in February,Utrecht (PV),2018,1.0,28.0
Passenger car (driver),Trip in February,Utrecht (PV),2019,0.7,20.0
Passenger car (driver),Trip in February,Utrecht (PV),2020,0.9,26.0
Passenger car (driver),Trip in February,Utrecht (PV),2021,0.59,17.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2018,0.93,26.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2019,0.83,23.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2020,0.92,27.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2021,0.61,17.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2018,0.92,26.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2019,0.91,25.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2020,0.9,26.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2021,0.64,18.0
Passenger car (driver),Trip in February,Zeeland (PV),2018,1.46,41.0
Passenger car (driver),Trip in February,Zeeland (PV),2019,,
Passenger car (driver),Trip in February,Zeeland (PV),2020,,
Passenger car (driver),Trip in February,Zeeland (PV),2021,,
Passenger car (driver),Trip in February,Noord-Brabant (PV),2018,1.03,29.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2019,1.25,35.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2020,1.26,36.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2021,0.7,20.0
Passenger car (driver),Trip in February,Limburg (PV),2018,1.34,38.0
Passenger car (driver),Trip in February,Limburg (PV),2019,1.29,36.0
Passenger car (driver),Trip in February,Limburg (PV),2020,1.31,38.0
Passenger car (driver),Trip in February,Limburg (PV),2021,0.97,27.0
Passenger car (driver),Trip in February,The Netherlands,2018,1.01,28.0
Passenger car (driver),Trip in February,The Netherlands,2019,0.93,26.0
Passenger car (driver),Trip in February,The Netherlands,2020,1.0,29.0
Passenger car (driver),Trip in February,The Netherlands,2021,0.66,18.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2018,1.03,29.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2019,0.71,20.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2020,0.9,26.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2021,0.63,18.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2018,1.04,29.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2019,0.92,26.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2020,1.04,30.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2021,0.65,18.0
Passenger car (driver),Trip in February,West-Nederland (LD),2018,0.88,25.0
Passenger car (driver),Trip in February,West-Nederland (LD),2019,0.78,22.0
Passenger car (driver),Trip in February,West-Nederland (LD),2020,0.84,24.0
Passenger car (driver),Trip in February,West-Nederland (LD),2021,0.57,16.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2018,1.01,28.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2019,1.12,31.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2020,1.14,33.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2021,0.69,19.0
Passenger car (driver),Trip in February,Groningen (PV),2018,0.86,24.0
Passenger car (driver),Trip in February,Groningen (PV),2019,,
Passenger car (driver),Trip in February,Groningen (PV),2020,,
Passenger car (driver),Trip in February,Groningen (PV),2021,,
Passenger car (driver),Trip in February,Fryslân (PV),2018,0.83,23.0
Passenger car (driver),Trip in February,Fryslân (PV),2019,,
Passenger car (driver),Trip in February,Fryslân (PV),2020,,
Passenger car (driver),Trip in February,Fryslân (PV),2021,,
Passenger car (driver),Trip in February,Drenthe (PV),2018,1.06,30.0
Passenger car (driver),Trip in February,Drenthe (PV),2019,,
Passenger car (driver),Trip in February,Drenthe (PV),2020,,
Passenger car (driver),Trip in February,Drenthe (PV),2021,,
Passenger car (driver),Trip in February,Overijssel (PV),2018,1.04,29.0
Passenger car (driver),Trip in February,Overijssel (PV),2019,0.88,25.0
Passenger car (driver),Trip in February,Overijssel (PV),2020,0.92,27.0
Passenger car (driver),Trip in February,Overijssel (PV),2021,0.58,16.0
Passenger car (driver),Trip in February,Flevoland (PV),2018,0.74,21.0
Passenger car (driver),Trip in February,Flevoland (PV),2019,,
Passenger car (driver),Trip in February,Flevoland (PV),2020,,
Passenger car (driver),Trip in February,Flevoland (PV),2021,,
Passenger car (driver),Trip in February,Gelderland (PV),2018,0.94,26.0
Passenger car (driver),Trip in February,Gelderland (PV),2019,0.84,23.0
Passenger car (driver),Trip in February,Gelderland (PV),2020,1.0,29.0
Passenger car (driver),Trip in February,Gelderland (PV),2021,0.65,18.0
Passenger car (driver),Trip in February,Utrecht (PV),2018,0.79,22.0
Passenger car (driver),Trip in February,Utrecht (PV),2019,0.53,15.0
Passenger car (driver),Trip in February,Utrecht (PV),2020,0.77,22.0
Passenger car (driver),Trip in February,Utrecht (PV),2021,0.51,14.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2018,0.8,22.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2019,0.69,19.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2020,0.8,23.0
Passenger car (driver),Trip in February,Noord-Holland (PV),2021,0.52,15.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2018,0.81,23.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2019,0.8,22.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2020,0.8,23.0
Passenger car (driver),Trip in February,Zuid-Holland (PV),2021,0.57,16.0
Passenger car (driver),Trip in February,Zeeland (PV),2018,1.04,29.0
Passenger car (driver),Trip in February,Zeeland (PV),2019,,
Passenger car (driver),Trip in February,Zeeland (PV),2020,,
Passenger car (driver),Trip in February,Zeeland (PV),2021,,
Passenger car (driver),Trip in February,Noord-Brabant (PV),2018,0.9,25.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2019,1.08,30.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2020,1.1,32.0
Passenger car (driver),Trip in February,Noord-Brabant (PV),2021,0.6,17.0
Passenger car (driver),Trip in February,Limburg (PV),2018,1.1,31.0
Passenger car (driver),Trip in February,Limburg (PV),2019,1.03,29.0
Passenger car (driver),Trip in February,Limburg (PV),2020,1.06,31.0
Passenger car (driver),Trip in February,Limburg (PV),2021,0.8,22.0
Passenger car (driver),Trip in February,The Netherlands,2018,1.12,31.0
Passenger car (driver),Trip in February,The Netherlands,2019,1.04,29.0
Passenger car (driver),Trip in February,The Netherlands,2020,1.11,32.0
Passenger car (driver),Trip in February,The Netherlands,2021,0.73,20.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2018,1.38,39.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2019,1.05,29.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2020,1.31,38.0
Passenger car (driver),Trip in February,Noord-Nederland (LD),2021,0.92,26.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2018,1.3,36.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2019,1.19,33.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2020,1.31,38.0
Passenger car (driver),Trip in February,Oost-Nederland (LD),2021,0.82,23.0
Passenger car (driver),Trip in February,West-Nederland (LD),2018,1.04,29.0
Passenger car (driver),Trip in February,West-Nederland (LD),2019,0.93,26.0
Passenger car (driver),Trip in February,West-Nederland (LD),2020,0.97,28.0
Passenger car (driver),Trip in February,West-Nederland (LD),2021,0.67,19.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2018,1.25,35.0
Passenger car (driver),Trip in February,Zuid-Nederland (LD),2019,1.41,39.0
